"Kati Ernst","Co-CEO and Co-Founder","ooshi"
"Rocio Alcocer Magirena","CEO","TAPP Water"
"Samuel Mueller","Co-Founder & CEO","Scandit"
"Michael Rolph","CEO & Co-Founder","Yoyo Wallet"
"Olivier Khayat","Co-CEO Commercial Banking Western Europe","UniCredit Bank AG"
"Paul Besnainou","Founder & Executive Chairman","SWEET INN"
"Rainer Becker","Senior Director Mobility Services/Co-Founder BYTON Mobility","BYTON"
"Nikolaus Hilgenfeldt","Co-Founder & CEO","Myos"
"Christian Gessner","General Manager DACH","Bird"
"Tarek Mueller","CEO","ABOUT YOU"
"Paul Hammer","CEO & Founder","BIOMES"
"Christoph Jung","Founder & CEO","MYCS"
"Roland Folz","CEO","solarisBank"
"Jaime Jimenez","CEO & Co-Founder","Typs"
"Johan Lilja","CEO & Co-Founder","Universal Avenue"
"Philipp Sayler von Amende","CEO & Co-Founder","Carwow"
"Natalie Hsiao","Senior Associate","Greenberg Traurig"
"Gunnar Froh","Founder and CEO","Wunder Mobility"
"Yotam Idan","Co-Founder & CEO","WeTrip"
"Eric La Bonnardiere","CEO","Evaneos"
"Stefan Groß-Selbeck","CEO","BCG Digital Ventures"
"Nico Jaspers","Co-founder & CEO","Dalia Research"
"Julian Teicke","Founder & CEO","WeFox"
"Lukas Yla","CEO","CityBee"
"Waldemar Moss","Co-Founder","Expondo"
"Georg Moser","COO","soccerwatch.tv"
"Sebastian Signer","Founder & Managing Director","UrmO"
"Alayna Palgon","Managing Director, USA","The Cirqle"
"Jan Michel Vette","Industry Manager","Google"
"Stefan Muehlemann","Founder & CEO","Loanboox"
"Detlev Huelsebusch","CEO & Founder","Parkling"
"Alexander Langer","Editor","Business Punk"
"Andreas Michalski","Founder & CEO","CI Hub"
"Federico Sargenti","CEO","S24"
"Lars Wolfram","COO","Talents Connect"
"Dora Palfi","CEO","imagiLabs"
"Ernest Eze","Co-Founder & Managing Director","STYRA Technologies"
"Aalok Y Shukla","Co-Founder & CEO","Straight Teeth Direct"
"Nico Polleti","Co-Founder & CEO","Cluno"
"Mei Wang","China innovation lead","Dgroup"
"Manfred Krikke","Partner","HPE Growth"
"Comert Tavaslioglu","CFO","Supplement.com"
"Daniel  Schreiber","Co-Founder & CEO","Lemonade"
"Anna von Stackelberg","Co-Founder","doctorly"
"Jonathan Anguelov","COO","Aircall"
"Marian Schikora","CEO","BestSecret"
"Philipp Roesch-Schlanderer","CEO","eGym"
"Fredrik Hjelm","Co-Founder & CEO","Voi Technology"
"Manuel Silva Martinez","Managing Partner","Santander InnoVentures"
"Maria Mann","Founder & CEO","Financery"
"Stephan Schleuss","Co-Founder & CEO","Wundercurves"
"Lola Rebollo Revesado","Co-Founder","CARGO ANGELS"
"Christoph Schuh","Partner","Lakestar"
"Maxim Dreval","Founder & CEO","Learn2Play"
"Max Laemmle","CEO & Founder","Fraugster"
"Celine Flores Willers","Linkedin Influencer","The Power of Linkedin"
"Rene Griemens","CFO","Volocopter"
"Mathis Buechi","Co-Founder & CEO","Taxfix"
"Marc Beermann","Co-Founder","Allthings"
"Christoph Goeken","Managing Director","M-Venture"
"Moshe Selfin","Chief Technology and Chief Operations Officer","Credorax"
"Dmitriy Stepanov","Chief of New Products","Yandex"
"Isabel Drost-Fromm","Open Source Strategist","EUROPACE"
"Michael Cassau","CEO & Founder","Grover"
"Andreas Koenig","CEO","ProGlove"
"Antoni Trenchev","Co-Founder","Nexo"
"Wolfgang Stieler","Editor","Heise"
"Olga Feldmeier","CEO","SMART VALOR"
"Marco Corradino","Board Member & COO","Lastminute.com Group"
"Ilkka Lavas","CEO & Co-Founder","EatAndTheCity"
"Mark Woerde","Founder","Letsheal.org"
"Pavel Romanenko","Head of Marketing and Partnerships","ZkSystems"
"Arndt Kwiatkowski","Founder & CEO","Bettermarks"
"Dustin Figge","Co-Founder & CEO","Homelike"
"Sebastian Tschentscher","CEO","CAREERTEAM"
"Julian Lange","CFO","Marley Spoon"
"Mayra Frank","Marketing Lead, Google for Startups Germany","Google"
"Rodolphe Ardant","CEO","Spendesk"
"Stefan Klestil","Partner","Speedinvest"
"Alex Mashinsky","Founder & CEO","Celsius Network"
"Pascal Leonard Blum","Cofounder and CEO","unu"
"Rene Reinsberg","Founder","Celo"
"Hanno Renner","Co-Founder & CEO","Personio"
"Pascal Bosten","Co-Founder","YOOLOX"
"Moritz Mauer","CEO","GRID"
"Miriam Schroeder","Editor","Handelsblatt Media Group"
"Alexis Angot","General Secretary","Ynsect"
"Lawrence Leuschner","Co-Founder & CEO","TIER Mobility"
"Steven Mendel","CEO & Co-founder","Bought By Many"
"Stephan Beyer","CEO","BigRep GmbH"
"Stephen Nundy","CTO / Partner","Lakestar"
"Sebastian Schäfer","Managing Partner","SteppenWolf"
"Ilja Solomonovs","Founder & CEO","Senmotion"
"Husayn Kassai","Co-Founder & CEO","Onfido"
"Pete Miller","Co-Founder","Octopus Energy"
"Thomas Serval","CEO","Kolibree"
"Rolf Adelsberger","CEO","Sensoryx"
"Karim Kaddoura","Co-Founder","Virtuo"
"Henrik Gebbing","Co-Founder & Managing Director","Finoa"
"Andy Grau","Innovation Manager, Project Lead","Porsche"
"Coen van Oostrom","CEO","EDGE Technologies"
"Karsten Neugebauer","CEO","G2K Group"
"Sarah Müller","Managing Director","kununu"
"Philipp Brunnbauer","Founder & CEO","MedEngine"
"Johan Svanstrom","Partner","EQT Ventures"
"Kai D. Kreisköther","CEO","DroidDrive"
"Marjorie Hernandez de Vogelsteller","CEO","LUKSO"
"Jessica Holzbach","Co-Founder","Penta"
"Lucile Cornet","Principal","Eight Roads Ventures"
"Dmitry Stepanov","Chief of New Products","Yandex Eda"
"Daria Dubinina","CEO & Co-Founder","Crassula"
"Henrik Haenecke","CFO & CDO","Berliner Verkehrsbetriebe"
"Amy Wu","Investor","ICONIQ Capital"
"Jan Dzulko","CEO","Everphone"
"Minoo Zarbafi","SVP Bertelsmann Investments, Head of Digital Partners","Bertelsmann"
"Hans Raffauf","Co-Founder & Chairman","Clue"
"Silke Grimmer","CPO","AssistMe"
"Tim Schumacher","Chairman","Eyeo"
"Assi Zichlinski","CEO","WAAM"
"Conor McAleavey","Head of Innovation","Leveris"
"Kostas Tzoumas","Co-Founder & CEO","Data Artisans"
"Neal Sinno","Chief Revenue Officer","Spot.IM"
"Walter Masalin","Partner","NGP Capital"
"Anton Inshutin","Managing Partner","RTP Global"
"Alon Chen","CEO & Co-Founder","Tastewise"
"Sujay Tyle","CEO","Frontier Car Group"
"Lara von Petersdorff-Campen","Co-Founder & CEO","Lytt"
"Edward Shenderovich","Co-founder and Executive Chairman","Knotel"
"JC Taunay-Bucalo","CCO","TravelPerk"
"Anna Iarotska","Co-Founder & CEO","Robo Wunderkind"
"Tomer Dean","CEO","Bllush"
"Antonin Cohen","CEO","Harmony"
"Raffael Johnen","Founder & CEO","auxmoney"
"Jan Wachtel","Chief Digital and Publishing Officer","RTL Germany"
"ANDREA GOGGI","CEO","jobby"
"Koen Köppen","CTO","Klarna"
"Kilian Wagner","Co-Founder & CEO","Viu Ventures"
"Patrick Horka","Co-Founder","Optune"
"Bernd Holbein","Data Activation Specialist","Google"
"Sachin Dev Duggal","Co-Founder & CEO","Builder"
"Annemie Ress","Managing Director","innogy Innovation Hub"
"David Borrie","Founder & CEO","Pirate Studios"
"Uve Samuels","Managing Director","SQUARE - HSBA Innovation HUB"
"Aron Gelbard","Co-Founder & CEO","Bloom & Wild"
"Oliver Berchtold","Co-Founder & CPO","YUKKA Lab"
"Felix Leuschner","Founder & CEO","Drover"
"Jan Buss","CEO","Cortex"
"Stephan Heller","CEO & Founder","FinCompare"
"Timo Buetefisch","Founder & CEO","Cooltra"
"Philippe Chainieux","CEO","MADE.COM"
"Johannes Riedel","CEO","AIPARK"
"David Rovira","Co-Founder & Chief Strategy Officer","Polaroo"
"Pierre Casanova","CRO","ContentSquare"
"Josefina Nungesser","Director Trend and Innovationscouting","Germany Trade & Invest"
"Jan Kemper","Managing Director & CFO","Omio"
"Boris Mittermueller","COO","Circ"
"Daniel Kalbeck","Founder & Managing Director","Codeversity GmbH"
"Tanja Voigt","General Counsel","Movinga"
"Richard Renner","Managing Director","Perseus"
"Mikayel Vardanyan","Chief Product Officer","PicsArt"
"Tim Klauke","CEO","ForkOn"
"Jonas De Cooman","Co-Founder","Spott"
"Charles Fraenkl","CEO","Smartfrog"
"Johannes Rath","Chief Digital Officer","SIGNAL IDUNA"
"Jochen Krisch","Editor-In-Chief","Exciting commerce"
"Gil Perry","Co-Founder & CEO","D-ID"
"Emre Baran","Founder & CTO","Qubit"
"Roman Scharf","Partner","Capital300"
"Dimitrios Ploutarchos","Co-Founder","Keatz"
"Ferry Heilemann","CEO & Co-Founder","FreightHub"
"Rafał Han","Co-Founder & CEO","Silvair"
"Ramin Assadollahi","CEO & Founder","ExB Labs"
"Joaquim Falgueras","President","Emagister"
"Harley Miller","Principal","Insight Partners"
"Michael Altendorf","Founder & CEO","Adtelligence"
"Jürgen Galler","CEO","1plusX"
"Werner Kräutlein","Founder & CEO","WechselGott"
"Niklas Wirminghaus","Editor","Capital"
"Itamar Benedy","Co-Founder & CEO","Anzu"
"Niklas Östberg","Co-founder & CEO","Delivery Hero"
"Paul Philipp Hermann","co-CEO","Event Inc"
"Carlos Pierre Trias de Bes","CEO & Founder","Badi"
"Roman Koidl","Founder / CEO","ClearVAT"
"Mehul Agrawal","Co-Founder & COO","Cars24"
"Jette Louise Larsen","Founder","Minplan"
"Taleeb Noormohamed","CEO","Campanda"
"Till Janczukowicz","Founder & CEO","IDAGIO"
"Anna Banicevic","Co-Founder & CEO","Zizoo"
"Jennifer Schwade","Founder & CEO","shape me"
"Cheng Guohua","CEO","Hangzhou Jianpei Technology"
"Patrick Kück","Director Strategy and Innovation","Porsche"
"Amos Haggiag","Co-Founder & CEO","Optibus"
"Marco Rodzynek","Founder & CEO","NOAH Advisors"
"Ohad Greenshpan","Co-Founder & CTO","Namogoo"
"Marcel Baltes","Co-Founder & MD","Talea.de"
"Stephen Upstone","Co-Founder & CEO","LoopMe"
"Daniel Kreis","CEO","Deutsche Handelsbank"
"Olivier Goy","Founder & CEO","October"
"Lukasz Koltowski","CEO","AioCare"
"Laura Tönnies","Co-Founder & CEO","corrux"
"Roland Pezzutto","Partner","Marlin Equity Partners"
"Nikolay Storonsky","Founder & CEO","Revolut"
"Vasile Foca","Co-Founder & Managing Partner","Talis Capital"
"Marco Langhoff","CEO","clever food concepts (aka eatclever)"
"Paul Morgenthaler","Principal","CommerzVentures"
"Constantin Schwaab","CEO","Wirelane"
"Lukasz Gadowski","Co-Founder & CEO","Circ"
"Tim Potocnik","Founder & CEO","Eurosender"
"Kai Eberhardt","Co-founder & CEO","Oviva"
"Claudio de Giovanni","Founder and CEO","Verado"
"Florian Schweitzer","Partner","btov Partners"
"Cédric Koehler","Managing Partner","Creathor Ventures"
"Matthias Knecht","Co-Founder","Billie"
"Ewout van Jarwaarde","CEO","CarNext.com"
"Stanislav Ivanov","Founding Partner","Tera Ventures"
"Johannes Laub","CEO","CrowdDesk"
"Jan Brzezek","CEO & Founder","Crypto Finance"
"Felix Jahn","Founder & CEO","McMakler"
"Jörg Mayer","Founder & CEO","CityLoop Travel GmbH"
"Michael Gunadi","VP Sales","Hadean"
"Christian Vollmann","Founder & CEO","Nebenan"
"Pamela Spence","Partner, Global Life Sciences Industry leader","Ernst & Young"
